"GEO","National Occupational Classification (NOC)","VALUE"
"Canada","Total, all occupations [00-95]","21680.6"
"Canada","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","2015.1"
"Canada","Legislative and senior management occupations [00]","61.1"
"Canada","Specialized middle management occupations [10, 20, 30, 40, 50]","747.5"
"Canada","Middle management occupations in retail and wholesale trade and customer services [60]","575.1"
"Canada","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","631.5"
"Canada","Business, finance and administration occupations, except management [11-14]","3448.3"
"Canada","Professional occupations in finance and business [11]","1021.9"
"Canada","Professional occupations in finance [111]","532.7"
"Canada","Professional occupations in business [112]","489.2"
"Canada","Administrative and financial supervisors and specialized administrative occupations [12]","812.5"
"Canada","Administrative occupations and transportation logistics occupations [13]","765.8"
"Canada","Administrative and financial support and supply chain logistics occupations [14]","848.0"
"Canada","Natural and applied sciences and related occupations, except management [21-22]","1847.5"
"Canada","Professional occupations in natural and applied sciences [21]","1188.5"
"Canada","Professional occupations in natural sciences [211]","82.6"
"Canada","Professional occupations in applied sciences (except engineering) [212]","818.4"
"Canada","Professional occupations in engineering [213]","287.5"
"Canada","Technical occupations related to natural and applied sciences [22]","659.0"
"Canada","Health occupations, except management [31-33]","1602.0"
"Canada","Professional occupations in health [31]","785.1"
"Canada","Health treating and consultation services professionals [311]","246.5"
"Canada","Therapy and assessment professionals [312]","123.8"
"Canada","Nursing and allied health professionals [313]","414.9"
"Canada","Technical occupations in health [32]","385.3"
"Canada","Assisting occupations in support of health services [33]","431.6"
"Canada","Occupations in education, law and social, community and government services, except management [41-45]","2210.0"
"Canada","Professional occupations in law, education, social, community and government services [41]","1381.7"
"Canada","Professional occupations in law [411]","134.2"
"Canada","Professional occupations in education services [412]","740.2"
"Canada","Professional occupations in social and community services [413]","235.4"
"Canada","Professional occupations in government services [414]","271.9"
"Canada","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","572.2"
"Canada","Occupations in front-line public protection services [421]","116.5"
"Canada","Paraprofessional occupations in legal, social, community and education services [422]","455.8"
"Canada","Assisting occupations in education and in legal and public protection [43]","147.6"
"Canada","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","108.5"
"Canada","Occupations in art, culture, recreation and sport, except management [51-55]","796.5"
"Canada","Professional occupations in art and culture [51]","182.4"
"Canada","Technical occupations in art, culture and sport [52]","230.5"
"Canada","Occupations in art, culture and sport [53]","138.7"
"Canada","Support occupations in art, culture and sport [54-55]","244.9"
"Canada","Sales and service occupations, except management [62-65]","4708.8"
"Canada","Retail sales and service supervisors and specialized occupations in sales and services [62]","676.1"
"Canada","Occupations in sales and services [63]","665.8"
"Canada","Sales and service representatives and other customer and personal services occupations [64]","1459.0"
"Canada","Sales and service support occupations [65]","1908.0"
"Canada","Trades, transport and equipment operators and related occupations, except management [72-75]","3193.8"
"Canada","Technical trades and transportation officers and controllers [72]","1520.1"
"Canada","General trades [73]","852.6"
"Canada","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","150.4"
"Canada","Helpers and labourers and other transport drivers, operators and labourers [75]","670.7"
"Canada","Natural resources, agriculture and related production occupations, except management [82-85]","450.8"
"Canada","Supervisors and occupations in natural resources, agriculture and related production [82-83]","147.8"
"Canada","Workers and labourers in natural resources, agriculture and related production [84-85]","302.9"
"Canada","Occupations in manufacturing and utilities, except management [92-95]","906.8"
"Canada","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","199.3"
"Canada","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","556.6"
"Canada","Labourers in processing, manufacturing and utilities [95]","150.9"
"Canada","Unclassified occupations","501.1"
"Newfoundland and Labrador","Total, all occupations [00-95]","271.3"
"Newfoundland and Labrador","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","15.9"
"Newfoundland and Labrador","Legislative and senior management occupations [00]","1.1"
"Newfoundland and Labrador","Specialized middle management occupations [10, 20, 30, 40, 50]","5.4"
"Newfoundland and Labrador","Middle management occupations in retail and wholesale trade and customer services [60]","4.9"
"Newfoundland and Labrador","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","4.5"
"Newfoundland and Labrador","Business, finance and administration occupations, except management [11-14]","36.3"
"Newfoundland and Labrador","Professional occupations in finance and business [11]","7.6"
"Newfoundland and Labrador","Professional occupations in finance [111]","4.2"
"Newfoundland and Labrador","Professional occupations in business [112]","3.4"
"Newfoundland and Labrador","Administrative and financial supervisors and specialized administrative occupations [12]","9.5"
"Newfoundland and Labrador","Administrative occupations and transportation logistics occupations [13]","8.4"
"Newfoundland and Labrador","Administrative and financial support and supply chain logistics occupations [14]","10.8"
"Newfoundland and Labrador","Natural and applied sciences and related occupations, except management [21-22]","15.7"
"Newfoundland and Labrador","Professional occupations in natural and applied sciences [21]","7.4"
"Newfoundland and Labrador","Professional occupations in natural sciences [211]","1.2"
"Newfoundland and Labrador","Professional occupations in applied sciences (except engineering) [212]","2.9"
"Newfoundland and Labrador","Professional occupations in engineering [213]","3.3"
"Newfoundland and Labrador","Technical occupations related to natural and applied sciences [22]","8.3"
"Newfoundland and Labrador","Health occupations, except management [31-33]","27.5"
"Newfoundland and Labrador","Professional occupations in health [31]","12.5"
"Newfoundland and Labrador","Health treating and consultation services professionals [311]","3.8"
"Newfoundland and Labrador","Therapy and assessment professionals [312]","1.1"
"Newfoundland and Labrador","Nursing and allied health professionals [313]","7.5"
"Newfoundland and Labrador","Technical occupations in health [32]","6.8"
"Newfoundland and Labrador","Assisting occupations in support of health services [33]","8.3"
"Newfoundland and Labrador","Occupations in education, law and social, community and government services, except management [41-45]","32.1"
"Newfoundland and Labrador","Professional occupations in law, education, social, community and government services [41]","18.0"
"Newfoundland and Labrador","Professional occupations in law [411]","1.5"
"Newfoundland and Labrador","Professional occupations in education services [412]","9.0"
"Newfoundland and Labrador","Professional occupations in social and community services [413]","3.6"
"Newfoundland and Labrador","Professional occupations in government services [414]","3.9"
"Newfoundland and Labrador","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","6.9"
