"GEO","National Occupational Classification","VALUE"
"Canada","Total, all occupations","737530"
"Canada","Management occupations [0]","35185"
"Canada","Senior management occupations [00]","1115"
"Canada","Legislators and senior management [001]","1115"
"Canada","Legislators [0011]","0"
"Canada","Senior government managers and officials [0012]","135"
"Canada","Senior managers - financial, communications and other business services [0013]","515"
"Canada","Senior managers - health, education, social and community services and membership organizations [0014]","185"
"Canada","Senior managers - trade, broadcasting and other services, not elsewhere classified (n.e.c.) [0015]","130"
"Canada","Senior managers - construction, transportation, production and utilities [0016]","0"
"Canada","Specialized middle management occupations [01-05]","16055"
"Canada","Administrative services managers [011]","4980"
"Canada","Financial managers [0111]","2815"
"Canada","Human resources managers [0112]","1305"
"Canada","Purchasing managers [0113]","385"
"Canada","Other administrative services managers [0114]","475"
"Canada","Managers in financial and business services [012]","4265"
"Canada","Insurance, real estate and financial brokerage managers [0121]","1005"
"Canada","Banking, credit and other investment managers [0122]","810"
"Canada","Advertising, marketing and public relations managers [0124]","2115"
"Canada","Other business services managers [0125]","335"
"Canada","Managers in communication (except broadcasting) [013]","185"
"Canada","Telecommunication carriers managers [0131]","100"
"Canada","Postal and courier services managers [0132]","85"
"Canada","Managers in engineering, architecture, science and information systems [021]","3275"
"Canada","Engineering managers [0211]","1025"
"Canada","Architecture and science managers [0212]","510"
"Canada","Computer and information systems managers [0213]","1740"
"Canada","Managers in health care [031]","1050"
"Canada","Managers in health care [0311]","1050"
"Canada","Managers in public administration [041]","435"
"Canada","Government managers - health and social policy development and program administration [0411]","65"
"Canada","Government managers - economic analysis, policy development and program administration [0412]","45"
"Canada","Government managers - education policy development and program administration [0413]","0"
"Canada","Other managers in public administration [0414]","310"
"Canada","Managers in education and social and community services [042]","1345"
"Canada","Administrators - post-secondary education and vocational training [0421]","350"
"Canada","School principals and administrators of elementary and secondary education [0422]","110"
"Canada","Managers in social, community and correctional services [0423]","890"
"Canada","Managers in public protection services [043]","50"
"Canada","Commissioned police officers [0431]","20"
"Canada","Fire chiefs and senior firefighting officers [0432]","35"
"Canada","Commissioned officers of the Canadian Armed Forces [0433]","0"
"Canada","Managers in art, culture, recreation and sport [051]","470"
"Canada","Library, archive, museum and art gallery managers [0511]","100"
"Canada","Managers - publishing, motion pictures, broadcasting and performing arts [0512]","115"
"Canada","Recreation, sports and fitness program and service directors [0513]","250"
"Canada","Middle management occupations in retail and wholesale trade and customer services [06]","12115"
"Canada","Corporate sales managers [060]","1705"
"Canada","Corporate sales managers [0601]","1705"
"Canada","Retail and wholesale trade managers [062]","6380"
"Canada","Retail and wholesale trade managers [0621]","6380"
"Canada","Managers in food service and accommodation [063]","3800"
"Canada","Restaurant and food service managers [0631]","3440"
"Canada","Accommodation service managers [0632]","360"
"Canada","Managers in customer and personal services, not elsewhere classified (n.e.c.) [065]","230"
"Canada","Managers in customer and personal services, not elsewhere classified (n.e.c.) [0651]","230"
"Canada","Middle management occupations in trades, transportation, production and utilities [07-09]","5895"
"Canada","Managers in construction and facility operation and maintenance [071]","3635"
"Canada","Construction managers [0711]","2695"
"Canada","Home building and renovation managers [0712]","0"
"Canada","Facility operation and maintenance managers [0714]","905"
"Canada","Managers in transportation [073]","550"
"Canada","Managers in transportation [0731]","550"
"Canada","Managers in natural resources production and fishing [081]","85"
"Canada","Managers in natural resources production and fishing [0811]","85"
"Canada","Managers in agriculture, horticulture and aquaculture [082]","135"
"Canada","Managers in agriculture [0821]","0"
"Canada","Managers in horticulture [0822]","30"
"Canada","Managers in aquaculture [0823]","0"
"Canada","Managers in manufacturing and utilities [091]","1490"
"Canada","Manufacturing managers [0911]","1170"
"Canada","Utilities managers [0912]","320"
"Canada","Business, finance and administration occupations [1]","78910"
"Canada","Professional occupations in business and finance [11]","18585"
"Canada","Auditors, accountants and investment professionals [111]","7865"
"Canada","Financial auditors and accountants [1111]","4305"
"Canada","Financial and investment analysts [1112]","1715"
"Canada","Securities agents, investment dealers and brokers [1113]","0"
"Canada","Other financial officers [1114]","1505"
"Canada","Human resources and business service professionals [112]","10720"
"Canada","Human resources professionals [1121]","2690"
"Canada","Professional occupations in business management consulting [1122]","2325"
"Canada","Professional occupations in advertising, marketing and public relations [1123]","5705"
"Canada","Administrative and financial supervisors and administrative occupations [12]","22630"
"Canada","Administrative services supervisors [121]","2710"
"Canada","Supervisors, general office and administrative support workers [1211]","235"
"Canada","Supervisors, finance and insurance office workers [1212]","540"
"Canada","Supervisors, library, correspondence and related information workers [1213]","0"
"Canada","Supervisors, mail and message distribution occupations [1214]","0"
"Canada","Supervisors, supply chain, tracking and scheduling co-ordination occupations [1215]","1600"
"Canada","Administrative and regulatory occupations [122]","11020"
"Canada","Administrative officers [1221]","6040"
"Canada","Executive assistants [1222]","745"
"Canada","Human resources and recruitment officers [1223]","1055"
"Canada","Property administrators [1224]","710"
"Canada","Purchasing agents and officers [1225]","1395"
"Canada","Conference and event planners [1226]","0"
"Canada","Court officers and justices of the peace [1227]","0"
"Canada","Employment insurance, immigration, border services and revenue officers [1228]","0"
"Canada","Office administrative assistants - general, legal and medical [124]","8405"
"Canada","Administrative assistants [1241]","5330"
"Canada","Legal administrative assistants [1242]","1115"
"Canada","Medical administrative assistants [1243]","1960"
"Canada","Court reporters, transcriptionists, records management technicians and statistical officers [125]","500"
"Canada","Court reporters, medical transcriptionists and related occupations [1251]","105"
"Canada","Health information management occupations [1252]","160"
"Canada","Records management technicians [1253]","175"
"Canada","Statistical officers and related research support occupations [1254]","0"
"Canada","Finance, insurance and related business administrative occupations [13]","4355"
"Canada","Finance, insurance and related business administrative occupations [131]","4355"
"Canada","Accounting technicians and bookkeepers [1311]","2685"
"Canada","Insurance adjusters and claims examiners [1312]","835"
"Canada","Insurance underwriters [1313]","555"
"Canada","Assessors, valuators and appraisers [1314]","185"
"Canada","Customs, ship and other brokers [1315]","95"
"Canada","Office support occupations [14]","19045"
"Canada","General office workers [141]","12665"
"Canada","General office support workers [1411]","4970"
"Canada","Receptionists [1414]","7325"
"Canada","Personnel clerks [1415]","0"
"Canada","Court clerks [1416]","0"
"Canada","Office equipment operators [142]","335"
"Canada","Data entry clerks [1422]","310"
"Canada","Desktop publishing operators and related occupations [1423]","0"
"Canada","Financial, insurance and related administrative support workers [143]","5015"
"Canada","Accounting and related clerks [1431]","2725"
"Canada","Payroll administrators [1432]","690"
"Canada","Banking, insurance and other financial clerks [1434]","940"
"Canada","Collectors [1435]","0"
"Canada","Library, correspondence and other clerks [145]","1030"
"Canada","Library assistants and clerks [1451]","515"
"Canada","Correspondence, publication and regulatory clerks [1452]","260"
"Canada","Survey interviewers and statistical clerks [1454]","0"
"Canada","Distribution, tracking and scheduling co-ordination occupations [15]","14290"
"Canada","Mail and message distribution occupations [151]","0"
"Canada","Mail, postal and related workers [1511]","0"
"Canada","Letter carriers [1512]","0"
"Canada","Couriers, messengers and door-to-door distributors [1513]","0"
"Canada","Supply chain logistics, tracking and scheduling co-ordination occupations [152]","0"
"Canada","Shippers and receivers [1521]","3330"
"Canada","Storekeepers and partspersons [1522]","1735"
"Canada","Production logistics co-ordinators [1523]","605"
"Canada","Purchasing and inventory control workers [1524]","970"
"Canada","Dispatchers [1525]","1540"
"Canada","Transportation route and crew schedulers [1526]","0"
"Canada","Natural and applied sciences and related occupations [2]","44100"
"Canada","Professional occupations in natural and applied sciences [21]","25045"
"Canada","Physical science professionals [211]","690"
"Canada","Physicists and astronomers [2111]","35"
"Canada","Chemists [2112]","260"
"Canada","Geoscientists and oceanographers [2113]","250"
"Canada","Meteorologists and climatologists [2114]","0"
"Canada","Other professional occupations in physical sciences [2115]","135"
"Canada","Life science professionals [212]","550"
"Canada","Biologists and related scientists [2121]","375"
"Canada","Forestry professionals [2122]","0"
"Canada","Agricultural representatives, consultants and specialists [2123]","0"
"Canada","Civil, mechanical, electrical and chemical engineers [213]","4935"
"Canada","Civil engineers [2131]","1875"
"Canada","Mechanical engineers [2132]","1620"
"Canada","Electrical and electronics engineers [2133]","1320"
"Canada","Chemical engineers [2134]","120"
"Canada","Other engineers [214]","2610"
"Canada","Industrial and manufacturing engineers [2141]","1060"
"Canada","Metallurgical and materials engineers [2142]","0"
"Canada","Mining engineers [2143]","235"
"Canada","Geological engineers [2144]","250"
"Canada","Petroleum engineers [2145]","155"
"Canada","Aerospace engineers [2146]","80"
"Canada","Computer engineers (except software engineers and designers) [2147]","485"
"Canada","Other professional engineers, not elsewhere classified (n.e.c.) [2148]","285"
"Canada","Architects, urban planners and land surveyors [215]","1100"
"Canada","Architects [2151]","0"
"Canada","Landscape architects [2152]","0"
"Canada","Urban and land use planners [2153]","435"
"Canada","Land surveyors [2154]","295"
"Canada","Mathematicians, statisticians and actuaries [216]","295"
"Canada","Mathematicians, statisticians and actuaries [2161]","295"
"Canada","Computer and information systems professionals [217]","14865"
"Canada","Information systems analysts and consultants [2171]","5965"
"Canada","Database analysts and data administrators [2172]","1305"
"Canada","Software engineers and designers [2173]","2590"
"Canada","Computer programmers and interactive media developers [2174]","4475"
"Canada","Web designers and developers [2175]","525"
"Canada","Technical occupations related to natural and applied sciences [22]","19055"
"Canada","Technical occupations in physical sciences [221]","1225"
"Canada","Chemical technologists and technicians [2211]","920"
"Canada","Geological and mineral technologists and technicians [2212]","305"
"Canada","Technical occupations in life sciences [222]","1240"
"Canada","Biological technologists and technicians [2221]","0"
"Canada","Agricultural and fish products inspectors [2222]","0"
"Canada","Forestry technologists and technicians [2223]","220"
"Canada","Conservation and fishery officers [2224]","0"
"Canada","Landscape and horticulture technicians and specialists [2225]","770"
"Canada","Technical occupations in civil, mechanical and industrial engineering [223]","4920"
"Canada","Civil engineering technologists and technicians [2231]","1370"
"Canada","Mechanical engineering technologists and technicians [2232]","1135"
"Canada","Industrial engineering and manufacturing technologists and technicians [2233]","1430"
"Canada","Construction estimators [2234]","985"
"Canada","Technical occupations in electronics and electrical engineering [224]","3210"
"Canada","Electrical and electronics engineering technologists and technicians [2241]","1705"
"Canada","Electronic service technicians (household and business equipment) [2242]","995"
"Canada","Industrial instrument technicians and mechanics [2243]","380"
"Canada","Aircraft instrument, electrical and avionics mechanics, technicians and inspectors [2244]","0"
"Canada","Technical occupations in architecture, drafting, surveying, geomatics and meteorology [225]","1905"
"Canada","Architectural technologists and technicians [2251]","350"
"Canada","Industrial designers [2252]","285"
"Canada","Drafting technologists and technicians [2253]","980"
"Canada","Land survey technologists and technicians [2254]","0"
"Canada","Technical occupations in geomatics and meteorology [2255]","110"
"Canada","Other technical inspectors and regulatory officers [226]","2530"
"Canada","Non-destructive testers and inspection technicians [2261]","305"
"Canada","Engineering inspectors and regulatory officers [2262]","0"
"Canada","Inspectors in public and environmental health and occupational health and safety [2263]","1380"
"Canada","Construction inspectors [2264]","750"
"Canada","Transportation officers and controllers [227]","615"
"Canada","Air pilots, flight engineers and flying instructors [2271]","375"
"Canada","Air traffic controllers and related occupations [2272]","0"
"Canada","Deck officers, water transport [2273]","0"
"Canada","Engineer officers, water transport [2274]","70"
"Canada","Railway traffic controllers and marine traffic regulators [2275]","0"
"Canada","Technical occupations in computer and information systems [228]","3405"
"Canada","Computer network technicians [2281]","1380"
"Canada","User support technicians [2282]","1840"
"Canada","Information systems testing technicians [2283]","185"
"Canada","Health occupations [3]","91930"
"Canada","Professional occupations in nursing [30]","31365"
"Canada","Professional occupations in nursing [301]","31365"
"Canada","Nursing co-ordinators and supervisors [3011]","1060"
"Canada","Registered nurses and registered psychiatric nurses [3012]","30300"
"Canada","Professional occupations in health (except nursing) [31]","9645"
"Canada","Physicians, dentists and veterinarians [311]","1445"
"Canada","Specialist physicians [3111]","110"
"Canada","General practitioners and family physicians [3112]","0"
"Canada","Dentists [3113]","175"
"Canada","Veterinarians [3114]","770"
"Canada","Optometrists, chiropractors and other health diagnosing and treating professionals [312]","1430"
"Canada","Optometrists [3121]","0"
"Canada","Chiropractors [3122]","0"
"Canada","Allied primary health practitioners [3124]","1300"
"Canada","Other professional occupations in health diagnosing and treating [3125]","0"
"Canada","Pharmacists, dietitians and nutritionists [313]","2425"
"Canada","Pharmacists [3131]","1860"
"Canada","Dietitians and nutritionists [3132]","565"
"Canada","Therapy and assessment professionals [314]","4350"
"Canada","Audiologists and speech-language pathologists [3141]","700"
"Canada","Physiotherapists [3142]","1955"
"Canada","Occupational therapists [3143]","1480"
"Canada","Other professional occupations in therapy and assessment [3144]","220"
"Canada","Technical occupations in health [32]","27115"
"Canada","Medical technologists and technicians (except dental health) [321]","8565"
"Canada","Medical laboratory technologists [3211]","1335"
"Canada","Medical laboratory technicians and pathologists' assistants [3212]","1000"
"Canada","Animal health technologists and veterinary technicians [3213]","795"
"Canada","Respiratory therapists, clinical perfusionists and cardiopulmonary technologists [3214]","1190"
"Canada","Medical radiation technologists [3215]","1045"
"Canada","Medical sonographers [3216]","420"
"Canada","Cardiology technologists and electrophysiological diagnostic technologists, not elsewhere classified (n.e.c.) [3217]","255"
"Canada","Other medical technologists and technicians (except dental health) [3219]","2530"
"Canada","Technical occupations in dental health care [322]","2100"
"Canada","Denturists [3221]","0"
"Canada","Dental hygienists and dental therapists [3222]","2000"
"Canada","Dental technologists, technicians and laboratory assistants [3223]","0"
"Canada","Other technical occupations in health care [323]","16445"
"Canada","Opticians [3231]","0"
"Canada","Practitioners of natural healing [3232]","0"
"Canada","Licensed practical nurses [3233]","13160"
"Canada","Paramedical occupations [3234]","925"
"Canada","Massage therapists [3236]","1475"
"Canada","Other technical occupations in therapy and assessment [3237]","615"
"Canada","Assisting occupations in support of health services [34]","23805"
"Canada","Assisting occupations in support of health services [341]","23805"
"Canada","Dental assistants [3411]","1145"
"Canada","Nurse aides, orderlies and patient service associates [3413]","20715"
"Canada","Other assisting occupations in support of health services [3414]","1950"
"Canada","Occupations in education, law and social, community and government services [4]","63225"
"Canada","Professional occupations in education services [40]","10330"
"Canada","University professors and post-secondary assistants [401]","2800"
"Canada","University professors and lecturers [4011]","1540"
"Canada","Post-secondary teaching and research assistants [4012]","1260"
"Canada","College and other vocational instructors [402]","2200"
"Canada","College and other vocational instructors [4021]","2200"
"Canada","Secondary and elementary school teachers and educational counsellors [403]","5330"
"Canada","Secondary school teachers [4031]","0"
"Canada","Elementary school and kindergarten teachers [4032]","0"
"Canada","Educational counsellors [4033]","0"
"Canada","Professional occupations in law and social, community and government services [41]","13785"
"Canada","Judges, lawyers and Quebec notaries [411]","1465"
"Canada","Judges [4111]","0"
"Canada","Lawyers and Quebec notaries [4112]","1465"
"Canada","Social and community service professionals [415]","6645"
"Canada","Psychologists [4151]","1160"
"Canada","Social workers [4152]","2740"
"Canada","Family, marriage and other related counsellors [4153]","2440"
"Canada","Professional occupations in religion [4154]","0"
"Canada","Probation and parole officers and related occupations [4155]","0"
"Canada","Employment counsellors [4156]","200"
"Canada","Policy and program researchers, consultants and officers [416]","5675"
"Canada","Natural and applied science policy researchers, consultants and program officers [4161]","1210"
"Canada","Economists and economic policy researchers and analysts [4162]","0"
"Canada","Business development officers and marketing researchers and consultants [4163]","670"
"Canada","Social policy researchers, consultants and program officers [4164]","795"
"Canada","Health policy researchers, consultants and program officers [4165]","1275"
"Canada","Education policy researchers, consultants and program officers [4166]","480"
"Canada","Recreation, sports and fitness policy researchers, consultants and program officers [4167]","550"
"Canada","Program officers unique to government [4168]","10"
"Canada","Other professional occupations in social science, not elsewhere classified (n.e.c.) [4169]","160"
"Canada","Paraprofessional occupations in legal, social, community and education services [42]","27815"
"Canada","Paraprofessional occupations in legal, social, community and education services [421]","27815"
"Canada","Paralegal and related occupations [4211]","935"
"Canada","Social and community service workers [4212]","15295"
"Canada","Early childhood educators and assistants [4214]","10635"
"Canada","Instructors of persons with disabilities [4215]","670"
"Canada","Other instructors [4216]","245"
"Canada","Other religious occupations [4217]","35"
"Canada","Occupations in front-line public protection services [43]","1210"
"Canada","Occupations in front-line public protection services [431]","1210"
"Canada","Police officers (except commissioned) [4311]","605"
"Canada","Firefighters [4312]","605"
"Canada","Non-commissioned ranks of the Canadian Armed Forces [4313]","0"
"Canada","Care providers and educational, legal and public protection support occupations [44]","10085"
"Canada","Home care providers and educational support occupations [441]","9840"
"Canada","Home child care providers [4411]","0"
"Canada","Home support workers, housekeepers and related occupations [4412]","6745"
"Canada","Elementary and secondary school teacher assistants [4413]","3075"
"Canada","Legal and public protection support occupations [442]","250"
"Canada","Sheriffs and bailiffs [4421]","0"
"Canada","Correctional service officers [4422]","0"
"Canada","By-law enforcement and other regulatory officers, not elsewhere classified (n.e.c.) [4423]","220"
"Canada","Occupations in art, culture, recreation and sport [5]","12025"
"Canada","Professional occupations in art and culture [51]","1660"
"Canada","Librarians, archivists, conservators and curators [511]","215"
"Canada","Librarians [5111]","140"
"Canada","Conservators and curators [5112]","50"
"Canada","Archivists [5113]","25"
"Canada","Writing, translating and related communications professionals [512]","780"
"Canada","Authors and writers [5121]","360"
"Canada","Editors [5122]","130"
"Canada","Journalists [5123]","185"
"Canada","Translators, terminologists and interpreters [5125]","105"
"Canada","Creative and performing artists [513]","665"
"Canada","Producers, directors, choreographers and related occupations [5131]","365"
"Canada","Conductors, composers and arrangers [5132]","0"
"Canada","Musicians and singers [5133]","0"
"Canada","Dancers [5134]","0"
"Canada","Actors and comedians [5135]","0"
"Canada","Painters, sculptors and other visual artists [5136]","0"
"Canada","Technical occupations in art, culture, recreation and sport [52]","10370"
"Canada","Technical occupations in libraries, public archives, museums and art galleries [521]","390"
"Canada","Library and public archive technicians [5211]","95"
"Canada","Technical occupations related to museums and art galleries [5212]","300"
"Canada","Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [522]","1430"
"Canada","Photographers [5221]","0"
"Canada","Film and video camera operators [5222]","0"
"Canada","Graphic arts technicians [5223]","655"
"Canada","Broadcast technicians [5224]","0"
"Canada","Audio and video recording technicians [5225]","415"
"Canada","Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts [5226]","160"
"Canada","Support occupations in motion pictures, broadcasting, photography and the performing arts [5227]","0"
"Canada","Announcers and other performers, not elsewhere classified (n.e.c.) [523]","0"
"Canada","Announcers and other broadcasters [5231]","60"
"Canada","Other performers, not elsewhere classified (n.e.c.) [5232]","0"
"Canada","Creative designers and craftspersons [524]","2010"
"Canada","Graphic designers and illustrators [5241]","1330"
"Canada","Interior designers and interior decorators [5242]","410"
"Canada","Theatre, fashion, exhibit and other creative designers [5243]","195"
"Canada","Artisans and craftspersons [5244]","0"
"Canada","Patternmakers - textile, leather and fur products [5245]","0"
"Canada","Athletes, coaches, referees and related occupations [525]","6230"
"Canada","Athletes [5251]","0"
"Canada","Coaches [5252]","0"
"Canada","Sports officials and referees [5253]","0"
"Canada","Program leaders and instructors in recreation, sport and fitness [5254]","4800"
"Canada","Sales and service occupations [6]","227250"
"Canada","Retail sales supervisors and specialized sales occupations [62]","11700"
"Canada","Retail sales supervisors [621]","2995"
"Canada","Retail sales supervisors [6211]","2995"
"Canada","Technical sales specialists in wholesale trade and retail and wholesale buyers [622]","3040"
"Canada","Technical sales specialists - wholesale trade [6221]","2680"
"Canada","Retail and wholesale buyers [6222]","360"
"Canada","Insurance, real estate and financial sales occupations [623]","5665"
"Canada","Insurance agents and brokers [6231]","2670"
"Canada","Real estate agents and salespersons [6232]","435"
"Canada","Financial sales representatives [6235]","2560"
"Canada","Service supervisors and specialized service occupations [63]","39630"
"Canada","Service supervisors [631]","10310"
"Canada","Food service supervisors [6311]","8590"
"Canada","Executive housekeepers [6312]","75"
"Canada","Accommodation, travel, tourism and related services supervisors [6313]","290"
"Canada","Customer and information services supervisors [6314]","435"
"Canada","Cleaning supervisors [6315]","725"
"Canada","Other services supervisors [6316]","190"
"Canada","Chefs and cooks [632]","22440"
"Canada","Chefs [6321]","2630"
"Canada","Cooks [6322]","19815"
"Canada","Butchers and bakers [633]","2865"
"Canada","Butchers, meat cutters and fishmongers - retail and wholesale [6331]","1775"
"Canada","Bakers [6332]","1090"
"Canada","Specialized occupations in personal and customer services [634]","4010"
"Canada","Hairstylists and barbers [6341]","3405"
"Canada","Tailors, dressmakers, furriers and milliners [6342]","0"
"Canada","Shoe repairers and shoemakers [6343]","0"
"Canada","Jewellers, jewellery and watch repairers and related occupations [6344]","0"
"Canada","Upholsterers [6345]","0"
"Canada","Funeral directors and embalmers [6346]","370"
"Canada","Sales representatives and salespersons - wholesale and retail trade [64]","36060"
"Canada","Sales and account representatives - wholesale trade (non-technical) [641]","6000"
"Canada","Sales and account representatives - wholesale trade (non-technical) [6411]","6000"
"Canada","Retail salespersons [642]","30065"
"Canada","Retail salespersons [6421]","30065"
"Canada","Service representatives and other customer and personal services occupations [65]","45070"
"Canada","Occupations in food and beverage service [651]","18080"
"Canada","Maîtres d'hôtel and hosts/hostesses [6511]","1575"
"Canada","Bartenders [6512]","3300"
"Canada","Food and beverage servers [6513]","13205"
"Canada","Occupations in travel and accommodation [652]","2675"
"Canada","Travel counsellors [6521]","490"
"Canada","Pursers and flight attendants [6522]","0"
"Canada","Airline ticket and service agents [6523]","0"
"Canada","Ground and water transport ticket agents, cargo service representatives and related clerks [6524]","0"
"Canada","Hotel front desk clerks [6525]","1545"
"Canada","Tourism and amusement services occupations [653]","775"
"Canada","Tour and travel guides [6531]","0"
"Canada","Outdoor sport and recreational guides [6532]","0"
"Canada","Casino occupations [6533]","235"
"Canada","Security guards and related security service occupations [654]","6280"
"Canada","Security guards and related security service occupations [6541]","6280"
"Canada","Customer and information services representatives [655]","13760"
"Canada","Customer services representatives - financial institutions [6551]","1900"
"Canada","Other customer and information services representatives [6552]","11860"
"Canada","Other occupations in personal service [656]","3495"
"Canada","Image, social and other personal consultants [6561]","0"
"Canada","Estheticians, electrologists and related occupations [6562]","2605"
"Canada","Pet groomers and animal care workers [6563]","890"
"Canada","Other personal service occupations [6564]","0"
"Canada","Sales support occupations [66]","19735"
"Canada","Cashiers [661]","7595"
"Canada","Cashiers [6611]","7595"
"Canada","Other sales support and related occupations [662]","12140"
"Canada","Service station attendants [6621]","665"
"Canada","Store shelf stockers, clerks and order fillers [6622]","11215"
"Canada","Other sales related occupations [6623]","260"
"Canada","Service support and other service occupations, not elsewhere classified (n.e.c.) [67]","75055"
"Canada","Food counter attendants, kitchen helpers and related support occupations [671]","47475"
"Canada","Food counter attendants, kitchen helpers and related support occupations [6711]","47475"
"Canada","Support occupations in accommodation, travel and amusement services [672]","2830"
"Canada","Support occupations in accommodation, travel and facilities set-up services [6721]","495"
"Canada","Operators and attendants in amusement, recreation and sport [6722]","2335"
"Canada","Cleaners [673]","22310"
"Canada","Light duty cleaners [6731]","13825"
"Canada","Specialized cleaners [6732]","2265"
"Canada","Janitors, caretakers and building superintendents [6733]","6215"
"Canada","Other service support and related occupations, not elsewhere classified (n.e.c.) [674]","2440"
"Canada","Dry cleaning, laundry and related occupations [6741]","655"
"Canada","Other service support occupations, not elsewhere classified (n.e.c.) [6742]","1785"
"Canada","Trades, transport and equipment operators and related occupations [7]","139585"
